UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Inter FR,@InterMilanFRA,2021-10-05T12:45:11.000Z,"Inter FR
@InterMilanFRA
·
5 oct.","Des fans de l’Inter ont péché un poisson dans la douve du Mapei Stadium lors de #SassuoloInter 
De 
Ahmad
8
75
287",😂,8,75,287,['https://pbs.twimg.com/ext_tw_video_thumb/1445293781918564357/pu/img/pXNe48iFygoX1_mC.jpg'],https://twitter.com/InterMilanFRA/status/1445369474681561090
Miss Caliméro,@missCalimero03,2021-10-05T20:34:03.000Z,"Miss Caliméro
@missCalimero03
·
5 oct.","L’île des bannis c’est chez lui, les autres c’est juste des invités de passage à qui il offre du poisson  #KohLanta
5
124",,,5,124,['https://pbs.twimg.com/media/FA9nME4VEAktFUy?format=jpg&name=small'],https://twitter.com/missCalimero03/status/1445487471333023752
BouziTV,@BouziTV_,2021-10-05T16:39:05.000Z,"BouziTV
@BouziTV_
·
5 oct.","La queue de poisson 
5
204",😂,,5,204,['https://pbs.twimg.com/ext_tw_video_thumb/1445428066549964800/pu/img/sZtlPj-nPZTCFdRD.jpg'],https://twitter.com/BouziTV_/status/1445428339259367425
3amoTony,@Tony_DixNeuf,2021-10-05T20:20:29.000Z,"3amoTony
@Tony_DixNeuf
·
5 oct.","La scène elle suinte le poisson
✭
@Gljtz
 · 4 oct.
This is peak squirt game scene.
2
11",,,2,11,"['https://pbs.twimg.com/profile_images/1440461088533856265/wvecG7n6_mini.jpg', 'https://pbs.twimg.com/media/FA2gC1qXEAE1QrQ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FA2gC10XoAAQlbw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FA2gC1oWEAAKtqh?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FA2gC14WQAYiTJN?format=jpg&name=360x360']",https://twitter.com/Tony_DixNeuf/status/1445484055529549832
Fabian Rivière,@RiviereFabian,2021-10-05T20:38:31.000Z,"Fabian Rivière
@RiviereFabian
·
5 oct.",""" Après le poisson, je vais aller chercher de la nourriture en forêt pr livrer à maître Teheiura sur son camp."" #KohLanta #KohLantaLaLegende
17",,,,17,['https://pbs.twimg.com/media/FA9oMtWUYAQCCw1?format=jpg&name=small'],https://twitter.com/RiviereFabian/status/1445488592680144896
n_poisson,@n_poisson,2021-10-05T23:45:30.000Z,"n_poisson
@n_poisson
·
6 oct.","Un peuple qui se tient, ça c’est de la solidarité… systémique.
Boulerice André o.p., o.f.m.
@BoulericeAndre
 · 5 oct.
Et durant ce temps, contrairement aux québécois, les Catalans ne lachent pas. twitter.com/AnonymeCitoyen…
4
5",⚜,,4,5,['https://pbs.twimg.com/profile_images/1437178285838848003/uz7IDgx7_mini.png'],https://twitter.com/n_poisson/status/1445535652049666048
Ferdirich,@ferdy_leweferdy,2021-10-05T20:57:47.000Z,"Ferdirich
@ferdy_leweferdy
·
5 oct.","Elle pleure quoi la Coumba  après avoir manger 6kg de poisson. Conseil ma chère  #kohlanta
2
18",😂 😂 😂,,2,18,[],https://twitter.com/ferdy_leweferdy/status/1445493445238288396
Daisy Gual,@SpiIItheT,2021-10-05T20:01:47.000Z,"Daisy Gual
@SpiIItheT
·
5 oct.","watch me continuer a demander le signe des gens comme si j’y connaissais quelque chose gqjgsjgqh
1
8",,1,,8,[],https://twitter.com/SpiIItheT/status/1445479351240122374
Daisy Gual,@SpiIItheT,2021-10-05T20:02:55.000Z,"Daisy Gual
@SpiIItheT
·
5 oct.","« alors comme ca t’es poisson ? »
2
4",,,2,4,['https://pbs.twimg.com/media/FA9gD8tVkBA7fBu?format=jpg&name=small'],https://twitter.com/SpiIItheT/status/1445479635739832327
L00K AT ME NOW,@PNeverson_,2021-10-05T19:58:10.000Z,"L00K AT ME NOW
@PNeverson_
·
5 oct.","Les conforts cette saison sont éclatés au sous sol. La dernière fois du riz, après des fruits, mnt du poisson comme si ils bouffaient pas du poisson toute la journée ??? #KohLanta
Le média suivant comprend des contenus potentiellement sensibles. Modifier les paramètres
Voir
2
8",,,2,8,[],https://twitter.com/PNeverson_/status/1445478441436921866
